textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,13-ENE-2026 B,Reporte creado el,"martes, 13 de enero de 2026",Tiempo,12:08:23,Generado por,SANTIAGO\amsrsalinasp,Generado en (segundos),15

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
02-ENE-2026 A,PF-07,"7,839.0",0.0,29.3,1.6,13.2,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-21,"3,266.1",0.0,65.8,12.7,18.7,0.0,5.0,0.0,95.1,95.1,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-22,"2,869.0",0.0,6.8,18.6,19.1,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-23,"2,709.1",0.0,233.8,0.0,53.4,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-24,"1,698.9",0.0,9.1,0.0,19.3,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-25,"2,544.7",0.0,192.4,1.0,116.6,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 A,PF-26,"3,780.5",0.0,7.8,3.6,19.1,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,545.1,37.5,271.3,0.0,5.0,0.0,795.1,795.1,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF03,"1,814.5",1.1,0.5,0.1,0.0,0.0,10.2,62.6,14.9,14.9,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-07,"7,839.0",0.0,12.4,59.5,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-21,"3,266.1",0.0,81.1,8.3,0.0,0.0,27.1,0.0,76.7,76.7,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-22,"2,869.0",0.0,4.9,12.7,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-23,"2,709.1",0.0,0.0,0.2,0.0,0.0,319.6,0.0,0.1,0.1,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-24,"1,698.9",0.0,11.5,13.4,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-25,"2,544.7",0.0,9.3,0.0,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
02-ENE-2026 B,PF-26,"3,780.5",0.0,12.3,10.6,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",1.1,132.0,105.0,0.0,0.0,356.9,62.6,591.7,591.7,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
03-ENE-2026 A,PF03,"1,814.5",10.2,0.4,1.5,0.0,0.0,0.0,84.7,100.0,100.0,"26,521.6",10.2,122.6,61.6,103.1,0.0,0.0,84.7,800.0,800.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
03-ENE-2026 A,PF-07,"7,839.0",0.0,21.6,6.3,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",10.2,122.6,61.6,103.1,0.0,0.0,84.7,800.0,800.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
03-ENE-2026 A,PF-21,"3,266.1",0.0,0.0,6.0,61.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",10.2,122.6,61.6,103.1,0.0,0.0,84.7,800.0,800.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
